iter	Accuracy	MultiClass
0	0.3732880621	3.30584395
1	0.4170851404	2.998337771
2	0.431579548	2.8498412
3	0.4397397854	2.762413779
4	0.4483565396	2.698201395
5	0.4502682036	2.645963438
6	0.4547763068	2.607640771
7	0.4566594385	2.56637482
8	0.4607110249	2.540495802
9	0.4633645286	2.516759382
10	0.4654188541	2.496742191
11	0.4673019858	2.478647141
12	0.4715532983	2.461814645
13	0.471524766	2.445078446
14	0.4737788176	2.431910121
15	0.4749486419	2.423177455
16	0.4750342388	2.412336296
17	0.480027391	2.395633979
18	0.4815396028	2.385173548
19	0.4823670395	2.378885074
20	0.4833371376	2.371583926
21	0.4861333029	2.365600168
22	0.4880449669	2.357959976
23	0.4882161607	2.350111365
24	0.4893574526	2.345380799
25	0.4897569048	2.338395736
26	0.490156357	2.332497575
27	0.4902419539	2.327525376
28	0.4917256334	2.322591517
29	0.4919538918	2.318412204
30	0.4937799589	2.314404754
31	0.4950639123	2.308162868
32	0.4962908012	2.304610151
33	0.4979171422	2.299457842
34	0.4992581602	2.295932543
35	0.4994008217	2.291403486
36	0.500570646	2.285423517
37	0.5009130336	2.281665947
38	0.5056493951	2.274718333
39	0.5081031728	2.271048589
40	0.508502625	2.268188672
41	0.5086167542	2.265048335
42	0.5085596896	2.26070251
43	0.5092444647	2.257053719
44	0.5092444647	2.251157787
45	0.5103001598	2.248236124
46	0.511755307	2.243377609
47	0.5121832915	2.239635197
48	0.5130392604	2.236579343
49	0.513381648	2.233423626
50	0.5144373431	2.229917274
51	0.51452294	2.227343795
52	0.5148653276	2.224143942
53	0.5155215704	2.222074459
54	0.5157783611	2.220358731
55	0.5163490071	2.216303355
56	0.5166057978	2.213730767
57	0.5168911207	2.209853273
58	0.5171479114	2.206741246
59	0.5172335083	2.20488464
60	0.5174332344	2.201987275
61	0.518346268	2.19885853
62	0.5184889295	2.197145031
63	0.5188598493	2.193338199
64	0.5190595754	2.189478982
65	0.520828578	2.186102586
66	0.5210853686	2.183700077
67	0.5212280301	2.181513121
68	0.5211709655	2.179738546
69	0.5208856425	2.176635882
70	0.5219128053	2.17412972
71	0.522454919	2.171403325
72	0.5230255649	2.168854589
73	0.5230826295	2.167524047
74	0.5232538233	2.165133576
75	0.5236532755	2.162564331
76	0.5238530016	2.160514018
77	0.5245663091	2.158605252
78	0.5247660352	2.156805042
79	0.5249086966	2.155586401
80	0.5250513581	2.153804693
81	0.5251654873	2.152248122
82	0.5253081488	2.149454409
83	0.5264209085	2.147661109
84	0.5269915544	2.145038367
85	0.5271056836	2.143325092
86	0.5276763296	2.140716838
87	0.5276763296	2.138897013
88	0.5277333942	2.136987578
89	0.5278475234	2.134815779
90	0.5286178955	2.132943124
91	0.5290173476	2.131607233
92	0.5291600091	2.1291967
93	0.5290744122	2.126900741
94	0.529245606	2.125629048
95	0.5298733166	2.124131994
96	0.5298733166	2.122023279
97	0.5307292856	2.120179825
98	0.5310146085	2.118221573
99	0.5309575439	2.117053978
100	0.5311858023	2.114727704
101	0.5312143346	2.11310961
102	0.5314711253	2.111170974
103	0.5315567222	2.110070029
104	0.5319561744	2.108792094
105	0.5323270943	2.104878488
106	0.5325553527	2.103095219
107	0.5329548048	2.100819323
108	0.5332115955	2.099005516
109	0.5334113216	2.098064173
110	0.5338393061	2.095834195
111	0.5340675645	2.094397327
112	0.5340104999	2.092793945
113	0.5342387583	2.091257213
114	0.5344670167	2.089533907
115	0.5345526136	2.088249062
116	0.5348379365	2.08664256
117	0.5352373887	2.085510407
118	0.5354941794	2.08414799
119	0.5355227117	2.082557537
120	0.5356083086	2.081510536
121	0.535836567	2.080020837
122	0.5358080347	2.078476973
123	0.5363786807	2.077162035
124	0.5367210682	2.075849326
125	0.5371205204	2.073585021
126	0.5372631819	2.072965335
127	0.5374058434	2.071437965
128	0.537462908	2.07034393
129	0.5375199726	2.069629731
130	0.5377196987	2.06837275
131	0.5378338279	2.066878147
132	0.5379764894	2.064499936
133	0.5380620863	2.063615212
134	0.5381191509	2.062732048
135	0.5384044739	2.061582508
136	0.5386327323	2.060198469
137	0.5385471354	2.058588177
138	0.5387183291	2.056911236
139	0.5391177813	2.055901906
140	0.5394316366	2.054759277
141	0.5393460397	2.053311708
142	0.5395457658	2.051932796
143	0.5399737503	2.050276362
144	0.540230541	2.049007121
145	0.5404587994	2.047196434
146	0.5405443963	2.046583881
147	0.5406299932	2.045278752
148	0.5406870577	2.044683363
149	0.5410294453	2.043407434
