iter	Passed	Remaining
0	20	20821
1	33	16692
2	45	15165
3	57	14385
4	70	14110
5	83	13800
6	95	13519
7	107	13320
8	119	13166
9	131	13027
10	144	13026
11	156	12924
12	169	12834
13	181	12756
14	193	12677
15	206	12683
16	219	12687
17	233	12738
18	245	12680
19	257	12624
20	271	12637
21	283	12589
22	295	12539
23	307	12492
24	319	12451
25	332	12465
26	344	12431
27	356	12392
28	369	12355
29	380	12317
30	392	12280
31	405	12275
32	419	12278
33	431	12247
34	443	12221
35	455	12190
36	468	12194
37	480	12166
38	492	12139
39	504	12108
40	516	12083
41	529	12069
42	541	12055
43	553	12028
44	565	11999
45	578	11999
46	593	12044
47	609	12083
48	625	12132
49	643	12220
50	659	12273
51	674	12303
52	689	12319
53	704	12344
54	719	12361
55	734	12382
56	749	12396
57	764	12416
58	779	12426
59	794	12450
60	809	12465
61	823	12466
62	837	12456
63	849	12425
64	862	12406
65	874	12375
66	886	12343
67	898	12315
68	910	12284
69	923	12271
70	935	12242
71	947	12211
72	959	12185
73	971	12159
74	985	12160
75	997	12132
76	1010	12117
77	1023	12097
78	1035	12072
79	1048	12053
80	1061	12037
81	1073	12012
82	1085	11988
83	1097	11965
84	1110	11959
85	1123	11935
86	1135	11913
87	1147	11890
88	1159	11866
89	1172	11850
90	1184	11836
91	1198	11831
92	1211	11813
93	1223	11792
94	1235	11771
95	1248	11757
96	1260	11738
97	1272	11716
98	1284	11693
99	1296	11670
100	1308	11648
101	1321	11636
102	1334	11626
103	1349	11629
104	1365	11635
105	1380	11641
106	1394	11640
107	1405	11610
108	1420	11613
109	1435	11614
110	1450	11616
111	1465	11618
112	1479	11614
113	1493	11603
114	1505	11589
115	1518	11570
116	1530	11549
117	1542	11526
118	1553	11504
119	1566	11484
120	1579	11471
121	1590	11449
122	1604	11440
123	1616	11420
124	1628	11401
125	1641	11385
126	1653	11364
127	1665	11343
128	1677	11323
129	1689	11306
130	1703	11303
131	1719	11308
132	1733	11302
133	1748	11302
134	1763	11296
135	1778	11296
136	1792	11288
137	1806	11284
138	1817	11255
139	1832	11256
140	1848	11258
141	1858	11231
142	1873	11227
143	1887	11221
144	1903	11223
145	1918	11219
146	1929	11193
147	1938	11158
148	1950	11140
149	1963	11127
150	1975	11109
151	1987	11090
152	1996	11052
153	2011	11047
